NQUEST,COMPRENS,ITA,VEROAF,VEROAB,VERORED,KLIMA,FACIL,DURATA
31625,9,9,9,9,9,9,9,86
31641,8,8,9,9,9,9,8,60
31652,10,10,10,10,10,10,10,35
31665,8,10,8,9,8,10,8,65
31671,9,9,9,9,9,9,9,62
31695,7,7,7,7,7,7,7,49
31724,8,8,8,8,8,8,8,63
31735,7,8,8,9,9,8,7,25
31757,9,9,9,9,9,9,9,37
31785,7,7,7,7,7,7,7,42
31798,8,8,9,9,9,9,8,50
31799,8,9,9,9,8,9,8,55
31860,10,10,10,10,10,10,10,64
31868,8,8,10,10,9,10,8,51
31869,6,5,3,7,6,5,6,52
31912,8,8,6,10,6,7,7,38
32001,7,7,7,7,7,7,7,26
32028,8,7,7,7,7,7,7,73
32033,7,7,7,7,7,7,7,36
32034,7,7,7,7,7,7,7,26
32041,8,8,8,8,8,8,8,25
32044,8,8,9,9,9,9,8,55
32047,7,8,8,9,9,7,6,60
32052,7,7,7,7,7,7,7,25
32057,7,7,7,7,7,7,7,54
32066,8,8,8,8,8,8,8,27
32067,7,7,7,7,7,7,7,29
32144,8,8,8,8,8,8,8,33
32190,8,7,8,8,8,7,8,38
32198,8,8,8,8,8,8,8,63
32206,9,9,9,9,8,9,9,47
32209,9,9,8,9,8,9,7,79
32210,9,9,8,8,8,9,9,52
32229,7,10,10,10,8,10,7,60
32288,8,8,8,8,8,8,8,36
32318,9,9,9,9,9,9,9,27
32320,9,9,9,9,9,9,9,56
32328,9,9,9,9,9,10,9,77
32438,8,8,9,9,9,9,9,27
32464,7,7,8,10,10,8,8,47
32470,10,10,10,10,10,10,10,54
32471,8,10,10,10,10,10,10,45
32524,9,9,8,9,9,9,9,47
32556,9,10,10,10,10,10,10,49
32668,8,8,8,8,8,8,8,67
32703,8,8,10,10,10,10,10,56
32709,9,9,9,9,8,8,8,57
32713,8,10,6,7,7,8,8,81
32729,6,6,7,7,6,10,7,87
32731,6,6,6,10,8,10,6,54
32733,6,7,7,8,6,10,7,52
32734,5,7,7,9,8,10,6,52
32742,6,7,6,9,6,10,7,41
32751,7,8,7,9,9,7,7,50
32764,7,7,6,7,7,6,6,42
32765,8,8,6,9,9,7,7,60
32772,8,8,6,8,8,8,8,50
32810,7,10,10,10,10,10,10,40
32822,8,8,8,8,8,8,8,48
32839,9,10,8,8,8,8,8,60
32861,8,8,8,8,8,8,8,48
32887,10,10,9,10,9,9,9,65
32962,10,10,10,10,10,10,10,55
32982,7,7,7,8,8,8,8,36
32987,8,8,10,10,10,10,8,47
33036,4,8,5,6,10,10,4,40
33038,6,6,5,6,6,7,6,39
33228,7,7,5,5,8,7,7,59
33245,8,7,6,7,7,6,7,64
33275,9,9,9,9,9,9,9,41
33303,7,5,6,7,8,7,7,55
33328,10,10,10,10,10,10,10,85
33335,10,10,10,10,10,10,10,90
33336,10,10,10,10,10,10,10,60
33347,10,10,10,10,10,10,9,40
33348,10,10,10,10,10,10,10,65
33451,9,9,9,9,9,10,9,63
33455,8,8,8,8,8,8,8,50
33479,9,9,9,9,9,10,9,52
33644,4,4,4,4,4,4,4,130
33751,10,10,8,9,10,9,9,46
33761,10,10,9,10,9,9,9,51
33773,9,9,9,9,9,10,9,58
33777,9,9,9,9,9,9,9,43
33778,9,9,9,9,9,9,9,60
33781,8,9,9,9,9,9,9,34
33814,10,9,1,8,7,9,9,39
33823,8,9,10,10,8,10,9,41
33839,7,8,8,8,8,8,8,40
33877,7,9,8,9,8,9,8,44
33882,7,8,8,9,9,9,8,42
33888,8,9,9,9,8,8,6,36
33889,8,9,9,8,8,9,9,46
33937,7,6,5,5,5,7,6,36
33941,8,8,9,9,9,9,9,67
33983,10,9,10,9,9,9,9,70
33985,9,9,8,9,7,9,9,84
33994,9,9,9,9,9,9,9,64
34059,10,10,10,10,10,10,10,64
34198,9,9,9,9,9,10,9,53
34199,8,8,8,9,9,10,8,68
34230,7,8,7,7,7,7,6,50
34252,9,8,6,10,10,10,10,52
34269,10,10,10,10,7,9,10,90
34377,9,9,9,9,9,9,9,43
34396,9,9,9,9,9,9,9,73
34513,9,9,9,9,9,9,9,47
34732,7,7,8,7,6,9,8,110
34738,9,8,7,8,7,8,7,75
34778,6,6,4,6,7,6,6,38
34793,8,8,8,8,8,8,8,35
34800,7,7,7,7,7,7,7,32
34825,8,8,6,8,8,7,7,66
34833,7,6,7,8,8,6,6,68
34886,8,9,9,8,10,9,10,64
34900,8,6,6,6,6,6,6,130
35005,7,7,9,7,9,8,7,37
35022,10,10,10,10,10,10,9,60
35032,8,9,9,9,9,9,9,70
35106,5,5,5,6,5,6,6,53
35234,8,8,10,10,10,9,9,77
35319,7,7,7,7,7,7,7,39
35322,7,7,7,7,7,7,7,56
35323,6,7,7,9,9,7,7,32
35326,4,8,5,5,5,4,6,85
35340,7,7,7,8,8,6,5,40
35346,6,7,6,7,7,7,7,31
35349,6,6,6,7,5,4,6,37
35355,7,7,6,7,6,5,6,34
35366,7,6,7,7,7,4,6,31
35370,7,7,6,7,6,5,6,36
35371,7,8,7,8,8,8,8,32
35372,8,8,8,8,8,7,8,32
35374,6,8,6,7,6,5,6,42
35379,9,9,9,10,9,10,10,54
35458,10,10,10,10,10,10,10,48
35498,8,9,9,10,9,10,9,90
35500,9,10,10,10,10,10,9,90
35502,7,7,8,8,6,8,8,50
35507,9,10,8,10,8,10,10,60
35508,7,7,7,8,7,9,7,60
35512,8,9,8,8,7,8,8,50
35518,8,10,7,6,6,10,7,45
35520,8,10,7,8,7,8,8,60
35588,10,9,10,10,10,10,9,61
35600,9,9,9,9,9,9,8,42
35640,10,10,10,10,10,10,10,115
35682,8,8,8,8,8,10,8,120
35718,8,8,8,8,8,10,9,45
35735,8,8,9,8,9,9,8,45
35788,10,10,10,10,10,10,10,76
35968,8,8,8,8,8,8,8,84
36010,10,10,10,10,10,10,10,32
36067,7,7,7,6,7,8,7,43
36106,9,9,8,9,8,9,9,83
36120,9,9,9,9,9,10,9,91
36130,8,9,8,8,8,9,8,70
36131,9,10,8,8,6,8,9,65
36146,9,9,8,7,6,8,8,65
36148,8,9,7,8,6,8,7,55
36164,8,8,9,9,9,8,10,76
36186,8,8,8,8,8,8,8,24
36249,6,6,6,6,6,6,6,50
36250,8,8,8,8,8,8,8,45
36311,8,9,9,9,9,9,9,47
36321,9,9,9,9,9,9,9,64
36333,8,9,8,9,9,9,7,46
36378,8,10,7,8,7,8,8,65
36403,8,8,9,9,9,9,9,35
36409,10,10,9,10,8,10,9,60
36415,9,8,8,10,9,9,9,45
36427,6,7,6,9,6,10,6,71
36443,9,9,7,10,9,9,8,30
36450,9,8,8,10,9,10,9,41
36494,9,9,10,10,10,10,9,60
36522,10,9,9,9,9,10,9,83
36524,7,7,7,8,7,6,6,48
36596,6,8,9,9,8,8,8,36
36697,8,7,8,8,9,9,8,73
36774,9,9,9,10,8,9,9,60
36849,8,8,8,8,8,8,8,24
36891,10,10,10,10,10,10,10,53
36893,10,10,10,10,10,10,10,64
37001,8,8,6,8,8,8,8,65
37011,10,10,9,10,10,10,10,60
37042,10,10,10,10,10,10,10,100
37286,7,8,8,8,8,8,8,68
37299,7,8,8,9,9,9,8,103
37459,6,7,7,7,8,7,7,70
37504,10,9,9,9,9,10,10,85
37521,8,9,9,9,9,10,9,55
37665,8,10,8,8,7,7,8,60
37677,10,10,9,9,10,9,9,40
37721,10,10,10,10,10,10,9,55
37808,7,5,4,4,4,8,7,65
37810,8,8,7,10,8,9,8,45
38014,8,10,7,8,6,8,8,55
38016,8,10,10,10,10,9,8,90
38018,10,10,10,10,10,10,10,90
38095,9,9,9,9,8,9,8,58
38106,10,10,9,10,10,10,10,80
38112,10,10,10,10,10,10,10,75
38118,10,10,10,10,10,10,10,90
38121,9,9,8,10,9,8,8,80
38128,8,8,10,10,10,10,9,33
38135,10,10,10,10,10,10,10,51
38169,8,10,8,8,7,9,8,60
38177,9,9,9,9,9,9,9,57
38183,9,9,9,9,9,9,9,73
38255,10,10,10,10,10,10,10,52
38261,8,8,9,9,9,10,9,58
38272,10,10,10,10,10,10,10,62
38316,9,9,9,9,9,9,9,77
38319,9,8,7,8,7,9,9,42
38349,10,10,7,9,7,10,9,70
38362,8,8,9,8,9,8,9,37
38481,4,6,8,10,8,10,4,58
38489,8,8,7,9,6,10,7,56
38493,9,9,6,8,7,10,8,82
38495,7,8,7,9,7,10,8,73
38496,4,6,7,9,7,10,4,41
38499,4,6,6,10,6,10,6,59
38554,9,10,10,10,10,10,9,90
38797,9,9,9,9,9,9,9,30
38800,9,10,10,10,10,10,9,53
38871,5,6,9,9,9,8,6,45
38877,9,9,8,8,9,9,9,58
38885,7,7,6,7,6,7,7,61
38903,8,9,9,9,9,9,9,32
38909,9,9,9,9,9,9,9,39
38913,10,10,10,10,10,10,10,27
38939,9,9,8,8,7,8,7,32
38940,8,8,9,10,9,10,9,33
38957,9,9,9,9,9,9,9,36
38964,9,9,9,9,9,9,9,64
38967,10,10,10,10,10,10,10,40
38977,8,8,8,8,8,8,8,41
38979,8,8,8,8,8,8,8,41
38992,10,10,9,10,10,10,10,64
38995,10,10,9,10,9,8,10,58
39055,9,9,9,9,9,8,9,65
39056,10,10,10,10,10,9,10,60
39057,10,10,9,9,9,7,9,80
39058,9,8,9,9,9,7,9,60
39060,8,7,9,9,9,7,9,60
39061,10,10,8,8,9,9,9,60
39083,9,9,8,9,9,10,9,59
39086,9,9,8,9,9,10,9,83
39095,10,9,10,10,10,10,10,75
39111,8,7,8,9,8,8,7,47
39218,9,9,7,8,9,9,9,40
39227,8,8,8,7,8,9,9,30
39259,8,8,9,9,9,9,8,60
39284,7,7,7,7,7,7,7,71
39317,7,8,8,8,8,8,7,60
39318,8,8,7,7,7,8,7,60
39351,9,7,10,10,10,10,7,57
39356,9,9,3,10,7,10,8,90
39433,6,6,5,7,7,9,6,61
39436,10,10,8,10,10,10,10,68
39441,10,10,10,10,10,10,10,53
39485,10,10,10,10,10,10,10,70
39486,10,10,10,10,10,10,10,51
39488,10,10,10,10,10,10,10,34
39491,10,10,10,10,10,10,10,41
39542,7,8,8,8,8,8,8,27
39581,8,8,9,9,9,9,9,62
39697,10,9,8,9,10,9,9,45
39907,8,8,7,7,7,8,8,55
50052,7,6,7,8,9,8,8,42
50060,10,9,8,7,10,10,10,25
50085,9,9,9,9,9,9,9,25
50135,9,9,7,8,7,10,9,63
50150,9,8,9,9,9,10,10,76
50178,8,10,10,10,10,10,10,27
50231,9,9,9,9,9,9,9,34
50232,9,9,9,9,9,9,9,40
50274,8,9,8,8,8,8,8,63
50281,8,9,9,9,9,9,8,65
50618,9,9,8,10,10,10,9,58
50674,8,9,9,9,9,9,8,50
51013,7,8,7,9,7,7,7,120
51185,7,7,6,8,8,7,7,38
51297,10,10,8,10,8,10,10,70
51351,7,7,6,7,7,8,7,80
51352,7,7,6,7,6,8,7,60
51363,6,7,8,8,8,8,7,55
51444,9,9,9,9,9,9,9,68
51467,7,8,7,8,7,8,7,55
51544,9,9,7,8,7,9,9,72
51719,8,8,9,9,9,9,8,55
51733,8,9,10,10,9,10,10,57
51792,7,8,9,9,9,7,6,56
51895,10,10,8,9,9,10,10,47
51900,10,10,8,8,7,9,9,37
52400,6,6,8,8,8,8,8,24
52455,7,6,7,7,7,8,7,35
52478,10,10,10,10,10,10,10,34
52505,6,7,8,7,7,8,7,41
52700,7,7,7,7,7,8,8,56
52716,8,9,8,9,9,9,9,35
52718,7,8,8,9,9,9,9,36
52733,6,7,8,8,8,8,8,42
52736,9,9,9,9,9,9,9,67
52985,6,7,4,8,5,10,6,67
53006,8,9,9,8,9,9,9,47
53008,9,9,9,9,8,10,9,50
53028,4,3,3,4,4,4,4,120
53081,7,8,7,9,8,9,8,41
53085,9,9,9,10,10,10,10,62
53086,9,9,7,10,8,10,9,27
53108,9,9,8,10,10,10,10,54
53109,7,7,8,10,8,9,8,31
53202,8,6,6,6,6,6,6,130
53225,7,8,8,9,8,8,8,34
53234,8,8,8,8,9,8,8,69
53373,10,10,8,10,10,10,10,29
53380,9,10,8,9,9,10,10,27
53520,9,7,7,8,6,9,9,29
53549,10,10,7,10,10,10,10,80
53552,9,9,6,8,7,6,6,41
53564,9,9,5,9,7,7,6,50
53596,10,9,6,8,7,9,9,45
53666,2,3,5,8,4,6,2,40
53741,8,8,8,9,8,8,7,53
53751,8,8,8,8,8,9,8,60
53849,7,7,8,8,8,9,7,132
53871,8,8,9,9,9,9,8,65
53997,10,10,10,10,10,10,10,36
54143,8,10,7,9,8,8,9,68
54279,10,10,10,10,10,8,10,60
54683,8,9,8,8,9,10,10,70
54694,8,8,8,8,8,6,7,55
54763,9,9,9,9,9,9,9,62
54949,10,10,6,8,9,10,9,100
55094,9,9,9,9,9,9,9,55
55104,8,8,8,8,8,8,8,66
55147,9,10,9,9,9,10,9,38
55209,6,6,6,8,8,8,6,50
55300,7,7,8,9,9,8,7,50
55308,7,6,7,8,7,8,7,55
55333,8,9,9,10,9,9,8,65
55349,7,7,8,8,8,7,6,48
55425,10,10,10,10,10,10,10,44
55430,10,10,10,10,10,10,10,38
55636,10,10,10,10,10,10,10,65
55774,10,10,10,10,10,10,10,59
55799,10,10,10,10,10,10,10,66
56251,7,7,7,10,8,7,6,29
56262,7,9,10,10,10,10,10,27
56270,7,7,5,7,7,8,8,60
56465,7,7,5,7,6,8,7,50
56529,9,9,8,8,7,9,9,80
56563,10,10,10,10,10,10,10,50
56572,10,10,9,10,9,10,9,40
56577,10,10,10,10,10,10,10,50
56582,10,10,10,10,10,10,10,65
56603,10,9,8,9,7,9,9,70
56610,8,9,7,9,9,9,8,60
56624,10,10,8,10,8,9,9,65
56656,10,10,10,10,10,10,9,70
56658,10,10,10,10,10,10,10,70
56677,10,10,10,10,10,10,10,70
56680,10,10,10,10,10,10,10,65
56686,10,10,10,10,10,10,10,60
56701,6,6,9,9,9,10,7,60
56721,7,7,7,8,8,8,8,60
56761,7,7,6,8,8,8,8,95
56762,7,7,8,8,8,8,8,75
56926,9,9,9,9,9,9,9,24
57027,9,9,9,9,9,9,9,44
57042,9,9,9,9,9,9,9,41
57043,8,9,7,7,7,10,8,33
57086,8,9,7,8,8,9,7,60
57138,9,9,9,9,9,9,7,107
57217,6,7,9,8,9,10,8,24
57232,7,7,7,7,7,7,7,60
57374,9,8,8,9,9,8,8,31
57546,9,10,9,9,9,10,10,89
57547,9,9,5,9,9,9,9,35
57609,8,8,6,8,8,8,7,80
57615,7,7,7,7,6,8,7,60
57616,8,8,8,8,8,8,8,70
57621,8,8,6,8,8,8,8,70
57670,10,10,9,9,10,9,9,51
57779,9,9,8,9,9,10,9,64
57911,10,10,10,10,10,10,10,80
57962,9,8,8,9,9,8,8,47
58042,8,9,9,7,8,9,8,55
58053,8,8,8,9,8,9,9,63
58055,8,9,9,8,8,8,9,47
58366,8,9,9,9,9,8,9,58
60078,2,3,4,5,6,6,7,104
91008,6,7,4,7,4,10,7,69
91010,9,9,9,9,9,10,9,44
91043,4,6,6,10,6,10,4,61
91067,9,9,7,9,7,9,9,31
91068,9,9,9,9,9,9,9,41
91071,7,8,9,8,8,9,8,61
91074,10,10,9,10,9,10,10,70
91079,8,8,6,8,7,8,8,70
91081,9,9,5,7,8,9,9,33
91095,10,10,10,10,10,10,10,46
104002,9,9,9,9,9,9,9,73
111052,9,8,7,9,8,8,7,64
121067,8,8,6,6,7,8,8,39
138091,8,8,9,8,8,8,9,41
138399,9,10,9,8,8,10,10,39
145007,10,10,10,10,10,10,10,37
145012,7,10,10,10,10,10,10,39
176011,8,9,9,9,9,8,8,56
176019,8,8,7,7,7,9,8,58
176057,9,9,9,9,9,9,9,55
176061,7,8,9,9,9,9,8,63
176068,8,8,8,8,8,8,8,63
178001,10,10,8,9,8,9,9,60
178058,10,9,8,9,8,10,9,70
188054,9,9,9,9,9,9,9,44
193016,10,10,10,10,10,10,10,40
193026,10,10,10,10,10,10,10,80
193082,10,10,10,10,10,10,10,70
213440,8,8,7,7,7,8,8,73
215011,6,6,8,9,9,9,7,50
215018,6,6,7,8,9,8,7,50
216022,10,10,10,10,10,10,10,90
217081,8,9,8,8,7,8,8,65
224028,9,9,6,6,6,8,8,32
224048,9,8,5,9,5,8,8,39
230003,7,7,9,9,9,9,9,30
230029,7,8,8,8,8,8,8,47
230030,6,6,7,8,9,7,6,28
230037,7,9,9,8,9,8,8,76
230039,7,7,7,8,6,8,8,56
230043,5,7,9,9,9,6,5,25
230048,7,8,8,8,8,8,8,37
237003,10,10,10,10,10,10,10,68
238055,8,8,9,9,9,8,8,58
243067,8,8,8,8,5,8,7,55
244013,9,9,9,9,9,9,9,28
244058,9,9,9,9,9,9,9,32
244064,8,8,8,8,8,8,8,26
250005,9,9,8,9,8,9,9,46
250010,10,10,10,10,10,10,10,37
250037,8,8,8,8,8,8,8,43
250039,8,9,8,7,8,9,8,30
250056,9,8,9,9,8,10,9,47
256015,7,7,7,7,7,7,7,71
279054,7,6,7,6,5,8,7,64
282083,10,10,10,10,10,10,10,35
282089,10,10,10,10,10,10,10,54
284086,10,10,10,10,10,10,10,72
294039,10,10,10,10,10,10,10,47
310002,9,8,7,7,6,7,6,36
310005,9,9,8,8,8,9,9,53
310051,9,9,8,8,8,10,9,51
310066,10,9,6,7,5,6,7,52
321009,8,8,8,9,8,8,8,54
330057,7,7,9,9,9,8,6,48
332080,8,8,4,7,7,9,9,28
333081,9,9,7,8,7,9,9,46
350035,9,9,9,9,9,9,9,71
350068,9,9,9,9,9,9,9,39
355063,8,9,8,8,9,9,9,42
365034,8,9,9,9,9,9,9,51
387029,9,10,6,8,7,8,9,60
389029,7,7,5,5,6,8,9,73
389045,7,8,9,9,10,10,7,54
389084,6,6,6,6,6,6,6,51
500001,7,7,7,7,7,7,7,35
500004,7,7,7,7,7,7,7,31
500026,8,9,9,9,9,9,8,65
500088,7,6,8,8,7,6,6,34
500090,8,9,6,5,4,8,8,60
500160,9,9,8,9,7,9,8,35
500176,9,9,8,9,8,9,8,45
500180,7,7,7,7,7,7,7,40
500328,9,10,8,10,9,9,9,25
500356,6,6,8,7,9,8,8,36
500388,9,9,9,9,9,9,9,30
500412,7,7,10,9,8,8,7,50
500477,9,9,8,9,8,9,9,35
500573,8,8,8,7,8,9,8,70
500575,8,10,8,8,8,10,8,55
500576,6,6,7,7,7,5,6,50
500584,8,8,7,7,7,8,7,65
500586,8,9,9,9,9,9,8,60
500594,8,8,8,8,8,8,7,55
500620,8,8,8,8,8,9,8,55
500669,8,8,8,8,8,9,8,65
500674,8,8,9,9,9,9,8,54
500682,8,9,8,9,8,8,8,62
500726,8,8,9,9,9,9,8,65
500751,7,7,8,8,8,5,7,55
500784,8,7,8,8,8,6,7,55
501048,8,8,8,8,8,8,8,54
501059,7,8,8,8,8,7,6,22
501068,7,9,9,10,9,9,7,22
501082,8,8,8,9,8,8,8,55
501374,8,9,8,8,8,8,8,60
501444,9,9,9,9,9,9,8,60
501485,8,8,7,9,9,8,8,65
501492,8,9,9,9,9,9,9,60
501569,8,9,8,8,8,9,8,81
501627,7,7,7,7,7,7,7,35
501664,8,8,8,8,8,8,8,60
501694,9,9,9,9,9,9,9,51
501697,9,9,8,8,8,9,8,34
501723,8,8,9,9,9,9,8,60
501777,9,9,9,9,9,9,9,65
501816,8,7,5,8,7,9,8,33
501874,8,8,6,5,5,9,9,62
501978,9,9,9,9,9,8,8,73
502025,8,9,9,9,9,9,8,56
502060,7,8,8,8,8,9,7,50
502144,8,9,9,9,9,9,8,65
502157,10,10,10,10,10,10,10,20
502248,5,5,7,7,7,7,5,34
502355,10,10,10,10,10,10,10,24
502360,8,6,10,10,10,10,8,40
502364,10,10,10,10,10,10,10,32
502366,8,8,10,10,10,7,7,33
502383,7,8,10,10,9,9,9,23
502386,9,10,10,10,9,10,9,41
502711,8,7,8,8,8,6,7,65
502772,8,8,8,8,8,8,8,57
503308,10,10,10,10,10,10,10,60
503431,10,10,10,10,10,10,10,80
503487,10,10,10,10,10,10,10,60
503560,4,4,5,6,4,4,4,28
503561,9,9,5,5,7,8,8,55
503593,9,9,8,9,8,8,8,38
503674,8,9,8,8,8,8,8,55
503703,8,8,9,9,9,9,8,55
503757,10,10,10,10,10,10,10,50
503788,10,10,8,10,8,10,9,60
503804,10,10,8,10,10,10,10,55
503850,10,10,8,10,9,10,10,61
503931,10,10,8,10,8,10,10,68
503950,8,9,8,10,8,9,9,59
503959,10,10,8,10,8,10,10,28
503981,7,9,6,9,7,9,7,60
504091,8,8,9,9,9,10,8,56
504110,9,10,10,9,10,10,8,63
504112,5,6,7,7,6,5,4,55
504125,8,8,9,9,9,9,8,55
504129,8,9,8,9,9,8,7,60
504138,8,8,7,8,7,8,8,60
504157,8,8,9,9,9,9,8,55
504359,10,10,10,10,10,10,10,59
504363,10,10,10,10,10,10,10,72
504380,6,7,8,8,8,8,6,62
504395,9,9,9,9,9,9,9,49
504453,9,10,9,8,8,9,9,70
504483,9,10,8,8,9,8,8,70
504490,9,10,8,8,6,8,9,60
504541,8,9,8,8,8,8,8,50
504551,7,9,9,8,8,9,7,50
504578,8,8,10,10,9,10,10,49
504584,6,7,10,9,9,10,9,30
504719,10,10,5,9,8,6,6,35
504730,9,10,9,9,9,9,8,82
